intent_type,user_prompt
cultural health advice,"I often eat meals like this from USA: For my snack, I have a 40g KIND Fruit and Nut Bar paired with a 200g apple.. Are these good for daily health?"
weight loss planning,"I’m on a weight loss plan. This meal had 436.06 kcal and 17.44g fat: For breakfast, it's just a doughnut and some orange juice in an 8 fl oz bottle.. Is this suitable?"
cultural health advice,"I often eat meals like this from BFA: For a snack, I had 21g of boiled fresh Roselle leaves, 4g of salt, and 19g of liquid potassium salt. I also included 175g of red sorghum flour that was dehydrated and boiled, along with 2g of fermented stink beans, 1g of stock cubes, and 9g of edible vegetable fats and oils.. Are these good for daily health?"
muscle gain support,"I’m trying to build muscle. I ate: I’ve got a lunch spread of 140g of black beans, 50g of cauliflower, and 73g of green beans cooked without oils. I'm enjoying 200g of guava juice and have 72g of cooked pumpkin, 20g of sugar, and 60g of raw tomato to round it out.. Does 11.239999999999997g of protein help with that?"
carb control,"My recent meal had 56.7g of carbs. This morning, my meal included 202g of boiled pumpkin, 66g of boiled white sweet potato, and 113g of boiled yellow sweet potato.. Is this okay for a low-carb diet?"
weight loss planning,"I’m on a weight loss plan. This meal had 761.0 kcal and 24.89g fat: I'm going to have 280g of beans, 80g of fried chicken wings, and 400g of passion fruit juice for dinner, along with 40g of sugar and 90g of white rice.. Is this suitable?"
energy balance,This meal gave me 398.93 kcal: I grabbed a piece of thick crust pepperoni pizza and a 16.9 fl oz bottle of water for a quick snack.. Is this too much for one meal?
nutrition evaluation,"I had this meal: I had a lunch that included 131g of unrefined maize flour, 10g of boiled onion, another 2g of boiled onion, 38g of boiled rape leaves, 55g of boiled tomato, and 27g of smoked bream fish. with 107.8g carbs and 541.0 kcal. Is this nutritionally balanced?"
diabetes-friendly meal,"I'm diabetic. I had this meal: I have 15 grams of breakfast biscuit crackers and a large bottle of unsweetened water, totaling 507 grams, for breakfast. with 10.65g carbs. Was this a safe choice?"
protein adequacy,"My meal had 2.39g protein. I'm enjoying a snack that includes one Nature Valley Chewy Trail Mix bar, one cup of coffee, and a single serving of flavored coffee creamer.. Is this enough for recovery after a workout?"
energy balance,"This meal gave me 426.2 kcal: For lunch, I’m eating 155 grams of cantaloupe along with 150 grams of fried chicken breast.. Is this too much for one meal?"
energy balance,This meal gave me 669.74 kcal: Lunch consists of a quesadilla with chicken and a 12 fl oz can of pepper soft drink.. Is this too much for one meal?
nutrition evaluation,"I had this meal: For lunch, I'm having a package of two Breakfast Tarts and a pouch of fruit leather candy. with 99.5g carbs and 510.7000000000001 kcal. Is this nutritionally balanced?"
fat intake concern,"I had this today: For lunch, I’m having 113 grams of strained peach cobbler baby food., which contains 0.0g fat. Should I cut down on fat?"
muscle gain support,I’m trying to build muscle. I ate: Lunch today is 177 grams of refined bee honey.. Does 0.5g of protein help with that?
cultural health advice,"I often eat meals like this from USA: For a quick snack, I drank 244 grams of whole milk and paired it with 14 grams of butter and 41 grams of fruit bread.. Are these good for daily health?"
fat intake concern,"I had this today: For breakfast, I went with an English muffin, a slice of cheddar cheese, a single boiled egg, a sausage patty, and a Capri Sun., which contains 22.55g fat. Should I cut down on fat?"
protein adequacy,My meal had 2.95g protein. Tonight's dinner includes 33 grams of bread made from wheat.. Is this enough for recovery after a workout?
meal improvement,"My meal today was: For dinner, I'm having a frankfurter on a wheat bun with a small bag of baked plain potato chips.. How can I make this healthier?"
energy balance,"This meal gave me 78.0 kcal: For lunch, I had some tea leaves boiled with sugar, weighing in at 197 grams.. Is this too much for one meal?"
diabetes-friendly meal,"I'm diabetic. I had this meal: For my snack, I brewed a cup of decaf instant coffee and mixed in a teaspoon of powdered sucralose. with 2.0g carbs. Was this a safe choice?"
